CloseBTC,CloseETH,BTCNorm,ETHNorm
277.9,3.00,0.02,0.01
258.6,1.20,0.02,0.00
263.9,1.20,0.02,0.00
263.3,1.20,0.02,0.00
269.0,0.99,0.02,0.00
267.7,1.29,0.02,0.00
263.4,1.88,0.02,0.00
265.0,1.79,0.02,0.00
260.5,1.79,0.02,0.00
257.1,1.37,0.02,0.00
257.1,1.30,0.02,0.00
246.7,1.36,0.01,0.00
226.0,1.24,0.01,0.00
234.7,1.52,0.01,0.00
232.4,1.44,0.01,0.00
229.5,1.40,0.01,0.00
226.8,1.35,0.01,0.00
211.4,1.24,0.01,0.00
220.5,1.27,0.01,0.00
225.0,1.18,0.01,0.00
222.7,1.14,0.01,0.00
231.6,1.30,0.01,0.00
228.5,1.18,0.01,0.00
228.4,1.32,0.01,0.00
229.5,1.31,0.01,0.00
227.2,1.36,0.01,0.00
228.6,1.14,0.01,0.00
226.2,1.23,0.01,0.00
230.3,1.35,0.01,0.00
233.7,1.37,0.01,0.00
239.9,1.34,0.01,0.00
239.6,1.28,0.01,0.00
243.2,1.26,0.01,0.00
237.4,1.21,0.01,0.00
238.1,1.19,0.01,0.00
239.9,0.92,0.01,0.00
235.6,1.15,0.01,0.00
230.2,0.89,0.01,0.00
229.9,0.96,0.01,0.00
229.5,0.95,0.01,0.00
228.6,0.94,0.01,0.00
232.7,0.88,0.01,0.00
232.2,0.85,0.01,0.00
231.1,0.89,0.01,0.00
231.1,0.89,0.01,0.00
226.3,0.94,0.01,0.00
230.0,0.81,0.01,0.00
229.9,0.91,0.01,0.00
233.8,0.80,0.01,0.00
235.0,0.68,0.01,0.00
234.3,0.77,0.01,0.00
232.5,0.70,0.01,0.00
238.9,0.60,0.01,0.00
236.7,0.68,0.01,0.00
235.9,0.71,0.01,0.00
237.1,0.65,0.01,0.00
236.7,0.66,0.01,0.00
238.6,0.68,0.01,0.00
261.7,0.51,0.02,0.00
263.8,0.50,0.02,0.00
269.8,0.44,0.02,0.00
267.1,0.42,0.02,0.00
274.4,0.61,0.02,0.00
276.9,0.56,0.02,0.00
282.6,0.56,0.02,0.00
287.9,0.62,0.02,0.00
285.1,0.71,0.02,0.00
462.6,1.00,0.03,0.00
454.0,0.80,0.03,0.00
455.5,0.94,0.03,0.00
463.2,0.90,0.03,0.00
461.2,0.89,0.03,0.00
441.8,1.07,0.03,0.00
437.6,0.91,0.03,0.00
437.0,0.88,0.03,0.00
442.4,0.87,0.03,0.00
453.0,0.87,0.03,0.00
454.0,0.88,0.03,0.00
415.4,0.85,0.02,0.00
422.4,0.92,0.03,0.00
421.8,0.87,0.03,0.00
431.9,0.86,0.03,0.00
427.1,0.89,0.03,0.00
430.0,0.95,0.03,0.00
434.0,0.92,0.03,0.00
433.7,0.95,0.03,0.00
430.7,0.96,0.03,0.00
433.3,0.95,0.03,0.00
431.2,0.94,0.03,0.00
430.8,0.95,0.03,0.00
457.0,0.94,0.03,0.00
452.9,0.99,0.03,0.00
448.3,0.99,0.03,0.00
446.2,1.00,0.03,0.00
447.7,1.08,0.03,0.00
445.0,1.22,0.03,0.00
432.2,1.14,0.03,0.00
429.1,1.16,0.03,0.00
372.3,1.20,0.02,0.00
385.0,1.22,0.02,0.00
382.5,1.31,0.02,0.00
384.4,1.47,0.02,0.00
379.5,1.22,0.02,0.00
414.6,1.54,0.02,0.00
410.2,1.54,0.02,0.00
382.6,1.52,0.02,0.00
388.6,2.03,0.02,0.00
402.1,2.10,0.02,0.00
392.8,2.50,0.02,0.01
389.8,2.30,0.02,0.00
395.0,2.42,0.02,0.01
379.7,2.55,0.02,0.01
380.3,2.41,0.02,0.01
377.8,2.44,0.02,0.01
369.8,2.20,0.02,0.00
372.2,2.17,0.02,0.00
373.9,2.45,0.02,0.01
368.0,2.53,0.02,0.01
390.6,2.57,0.02,0.01
386.5,2.56,0.02,0.01
376.7,2.53,0.02,0.01
377.9,3.00,0.02,0.01
372.6,3.16,0.02,0.01
375.3,3.76,0.02,0.01
381.9,4.35,0.02,0.01
379.5,6.38,0.02,0.01
384.0,5.27,0.02,0.01
390.1,5.22,0.02,0.01
405.5,5.20,0.02,0.01
401.1,5.22,0.02,0.01
406.4,4.25,0.02,0.01
417.1,3.86,0.02,0.01
421.4,4.36,0.03,0.01
420.0,4.45,0.02,0.01
440.1,4.37,0.03,0.01
437.9,4.63,0.03,0.01
437.8,5.60,0.03,0.01
419.9,5.70,0.02,0.01
422.7,6.23,0.03,0.01
423.5,5.93,0.03,0.01
427.3,6.03,0.03,0.01
431.3,6.31,0.03,0.01
432.5,6.50,0.03,0.01
436.2,6.35,0.03,0.01
434.0,7.59,0.03,0.02
425.4,8.70,0.03,0.02
419.6,9.35,0.02,0.02
409.5,9.96,0.02,0.02
399.0,11.00,0.02,0.02
406.0,10.98,0.02,0.02
414.9,9.50,0.02,0.02
411.9,9.88,0.02,0.02
412.8,11.55,0.02,0.02
415.8,11.11,0.02,0.02
419.1,11.25,0.02,0.02
410.4,13.25,0.02,0.03
412.4,15.00,0.02,0.03
414.3,12.50,0.02,0.03
415.1,13.09,0.02,0.03
415.9,12.92,0.02,0.03
418.2,11.14,0.02,0.02
408.2,10.75,0.02,0.02
408.7,10.55,0.02,0.02
411.5,10.06,0.02,0.02
411.1,11.97,0.02,0.03
416.2,10.96,0.02,0.02
417.0,12.29,0.02,0.03
414.7,11.13,0.02,0.02
415.7,10.69,0.02,0.02
416.5,11.00,0.02,0.02
424.6,10.50,0.03,0.02
422.2,11.58,0.03,0.02
415.0,11.73,0.02,0.02
412.4,11.88,0.02,0.02
415.7,11.41,0.02,0.02
415.6,11.63,0.02,0.02
418.5,11.61,0.02,0.02
419.1,11.58,0.02,0.02
419.3,11.10,0.02,0.02
422.1,10.39,0.03,0.02
421.3,10.79,0.03,0.02
420.1,10.08,0.02,0.02
417.7,9.74,0.02,0.02
418.0,9.16,0.02,0.02
420.3,8.80,0.02,0.02
421.4,8.72,0.03,0.02
424.7,7.53,0.03,0.02
423.5,8.02,0.03,0.02
424.0,8.48,0.03,0.02
428.7,8.22,0.03,0.02
430.0,8.48,0.03,0.02
426.3,9.45,0.03,0.02
427.7,8.92,0.03,0.02
434.9,8.77,0.03,0.02
441.2,8.54,0.03,0.02
449.3,8.15,0.03,0.02
445.3,7.83,0.03,0.02
450.1,8.31,0.03,0.02
457.6,8.00,0.03,0.02
461.7,7.43,0.03,0.02
466.0,7.50,0.03,0.02
447.0,7.77,0.03,0.02
448.5,7.30,0.03,0.02
455.0,7.51,0.03,0.02
448.5,8.83,0.03,0.02
452.2,8.76,0.03,0.02
444.2,10.03,0.03,0.02
450.3,9.37,0.03,0.02
445.8,9.43,0.03,0.02
448.1,9.79,0.03,0.02
459.6,9.27,0.03,0.02
458.5,9.30,0.03,0.02
457.9,9.44,0.03,0.02
460.4,9.32,0.03,0.02
449.4,9.39,0.03,0.02
452.5,9.97,0.03,0.02
454.4,10.10,0.03,0.02
455.4,10.48,0.03,0.02
456.4,10.14,0.03,0.02
458.1,9.94,0.03,0.02
454.9,11.04,0.03,0.02
453.3,12.26,0.03,0.03
454.2,13.29,0.03,0.03
442.7,14.49,0.03,0.03
442.1,13.73,0.03,0.03
443.6,13.95,0.03,0.03
439.6,14.21,0.03,0.03
443.7,13.45,0.03,0.03
446.1,12.62,0.03,0.03
449.8,12.53,0.03,0.03
453.3,12.37,0.03,0.03
474.0,11.11,0.03,0.02
524.2,11.56,0.03,0.02
516.0,12.28,0.03,0.03
532.3,12.48,0.03,0.03
528.9,13.85,0.03,0.03
537.4,13.83,0.03,0.03
537.1,13.78,0.03,0.03
567.0,13.78,0.03,0.03
572.0,13.66,0.03,0.03
574.9,13.85,0.03,0.03
583.6,13.96,0.03,0.03
575.6,14.41,0.03,0.03
580.5,14.44,0.03,0.03
574.7,14.49,0.03,0.03
577.9,13.97,0.03,0.03
591.6,14.01,0.04,0.03
666.5,15.57,0.04,0.03
700.1,17.55,0.04,0.04
685.1,18.70,0.04,0.04
690.8,18.30,0.04,0.04
761.2,20.61,0.05,0.04
743.9,15.49,0.04,0.03
753.8,11.36,0.04,0.02
761.0,12.33,0.05,0.03
734.0,11.70,0.04,0.02
667.4,12.71,0.04,0.03
590.6,13.21,0.04,0.03
620.8,13.58,0.04,0.03
656.9,14.25,0.04,0.03
663.5,14.28,0.04,0.03
625.4,13.82,0.04,0.03
644.7,14.04,0.04,0.03
644.9,12.15,0.04,0.03
636.5,12.76,0.04,0.03
670.0,12.40,0.04,0.03
674.6,12.23,0.04,0.03
698.1,12.04,0.04,0.03
661.6,11.85,0.04,0.02
675.2,11.34,0.04,0.02
663.7,10.45,0.04,0.02
672.7,10.51,0.04,0.02
635.3,10.07,0.04,0.02
662.8,11.30,0.04,0.02
651.8,10.92,0.04,0.02
647.1,10.97,0.04,0.02
646.7,10.58,0.04,0.02
670.6,10.54,0.04,0.02
661.2,10.44,0.04,0.02
657.3,11.55,0.04,0.02
664.2,11.88,0.04,0.02
660.7,11.59,0.04,0.02
676.3,11.19,0.04,0.02
670.4,11.03,0.04,0.02
671.1,11.63,0.04,0.02
664.4,12.54,0.04,0.03
664.6,12.66,0.04,0.03
651.1,14.82,0.04,0.03
655.2,14.40,0.04,0.03
659.3,12.63,0.04,0.03
654.0,13.84,0.04,0.03
654.4,12.08,0.04,0.03
654.5,13.05,0.04,0.03
654.1,12.87,0.04,0.03
655.4,12.87,0.04,0.03
654.7,12.57,0.04,0.03
621.9,11.86,0.04,0.02
607.0,11.04,0.04,0.02
513.4,8.30,0.03,0.02
566.4,10.42,0.03,0.02
576.2,11.21,0.03,0.02
574.7,11.05,0.03,0.02
586.5,10.95,0.03,0.02
590.8,10.98,0.04,0.02
589.2,11.29,0.03,0.02
585.3,12.22,0.03,0.03
590.9,12.22,0.04,0.03
587.8,11.68,0.03,0.02
587.1,11.78,0.03,0.02
584.6,11.56,0.03,0.02
569.1,11.21,0.03,0.02
567.0,11.21,0.03,0.02
580.2,11.17,0.03,0.02
572.3,10.77,0.03,0.02
573.4,10.77,0.03,0.02
574.6,10.71,0.03,0.02
582.6,11.28,0.03,0.02
580.7,11.14,0.03,0.02
587.5,11.07,0.03,0.02
583.6,11.01,0.03,0.02
579.7,11.01,0.03,0.02
578.0,11.35,0.03,0.02
579.4,11.26,0.03,0.02
570.3,11.19,0.03,0.02
575.0,10.99,0.03,0.02
574.2,10.95,0.03,0.02
577.3,11.21,0.03,0.02
573.9,11.55,0.03,0.02
572.0,12.21,0.03,0.03
575.3,12.08,0.03,0.03
598.8,11.85,0.04,0.02
609.5,11.71,0.04,0.02
605.8,11.75,0.04,0.02
610.4,11.70,0.04,0.02
613.2,11.59,0.04,0.02
625.6,11.39,0.04,0.02
623.2,11.72,0.04,0.02
624.5,12.05,0.04,0.03
605.6,11.64,0.04,0.02
608.0,11.89,0.04,0.03
608.6,11.92,0.04,0.03
609.5,11.97,0.04,0.03
608.1,11.96,0.04,0.03
607.8,12.61,0.04,0.03
607.1,12.83,0.04,0.03
610.7,12.39,0.04,0.03
609.8,12.93,0.04,0.03
609.2,14.72,0.04,0.03
597.2,13.72,0.04,0.03
595.6,13.11,0.04,0.03
602.9,13.36,0.04,0.03
602.6,12.91,0.04,0.03
601.5,13.05,0.04,0.03
606.5,12.89,0.04,0.03
605.5,13.09,0.04,0.03
604.7,13.30,0.04,0.03
604.7,13.17,0.04,0.03
608.1,13.24,0.04,0.03
613.4,13.21,0.04,0.03
610.7,13.23,0.04,0.03
611.6,13.45,0.04,0.03
609.0,13.32,0.04,0.03
611.8,13.09,0.04,0.03
611.0,12.87,0.04,0.03
616.0,12.68,0.04,0.03
617.7,12.24,0.04,0.03
615.8,12.06,0.04,0.03
617.3,11.74,0.04,0.02
640.5,11.75,0.04,0.02
636.0,11.77,0.04,0.02
635.6,12.02,0.04,0.03
637.9,11.90,0.04,0.03
637.0,11.96,0.04,0.03
640.1,11.93,0.04,0.03
637.4,11.98,0.04,0.03
635.3,12.50,0.04,0.03
629.1,11.98,0.04,0.03
628.3,12.05,0.04,0.03
630.5,12.07,0.04,0.03
655.5,12.06,0.04,0.03
653.0,11.95,0.04,0.03
650.5,11.93,0.04,0.03
651.0,11.38,0.04,0.02
674.7,11.50,0.04,0.02
682.3,11.43,0.04,0.02
686.2,11.08,0.04,0.02
715.0,10.39,0.04,0.02
697.3,11.22,0.04,0.02
698.7,10.91,0.04,0.02
726.8,10.75,0.04,0.02
733.5,10.82,0.04,0.02
684.9,10.86,0.04,0.02
702.1,11.13,0.04,0.02
702.1,11.11,0.04,0.02
709.9,10.97,0.04,0.02
705.4,10.90,0.04,0.02
710.9,10.86,0.04,0.02
721.4,10.64,0.04,0.02
714.6,10.52,0.04,0.02
715.0,10.29,0.04,0.02
704.3,9.96,0.04,0.02
702.0,10.13,0.04,0.02
704.6,10.00,0.04,0.02
711.1,10.22,0.04,0.02
740.3,10.01,0.04,0.02
737.5,9.95,0.04,0.02
747.0,9.53,0.04,0.02
747.9,9.70,0.04,0.02
728.5,9.57,0.04,0.02
736.2,9.56,0.04,0.02
749.3,9.84,0.04,0.02
741.1,9.78,0.04,0.02
735.3,9.22,0.04,0.02
740.4,9.39,0.04,0.02
734.1,9.34,0.04,0.02
729.4,8.91,0.04,0.02
733.3,8.66,0.04,0.02
